uni,budget,contract
Білоцерківський національний аграрний університет,2315,1895
Вінницький національний аграрний університет,2014,1896
Вінницький національний медичний університет імені М.І.Пирогова,2084,3247
Вінницький національний технічний університет,2902,586
Глухівський національний педагогічний університет імені Олександра Довженка,1788,370
Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна,2802,936
Дніпропетровський національний університет імені Олеся Гончара,7766,2554
Житомирський національний агроекологічний університет,1862,786
Запорізький національний технічний університет,4138,3063
Запорізький національний університет,2588,3850
Івано-Франківський національний медичний університет,1153,3695
Івано-Франківський національний технічний університет нафти і газу,3077,1992
Кам’янець-Подільський національний університет імені Івана Огієнка,3001,748
Київський національний економічний університет імені Вадима Гетьмана,3919,4160
Київський національний лiнгвiстичний унiверситет,1643,3498
Київський національний торговельно-економiчний університет,3686,3074
Київський національний унiверситет будівництва i архітектури,3669,1341
Київський національний унiверситет культури i мистецтв,3423,752
"Київський національний унiверситет театру, кіно i телебачення iменi І.К.Карпенка-Карого",609,296
Київський національний університет iменi Тараса Шевченка,13183,5163
Київський національний університет технологій та дизайну,3059,1213
Кременчуцький національний університет імені Михайла Остроградського,2108,969
Луцький національний технічний університет,2605,973
Кіровоградський національний технічний університет,1885,924
Кременчуцький національний університет імені Михайла Остроградського,2108,969
Криворізький національний університет,6017,2384
Львівська національна академія мистецтв,698,405
Львівська національна музична академія ім. М. В. Лисенка,429,92
Львівський національний аграрний університет,1906,886
Львівський національний медичний університет імені Данила Галицького,2306,2374
Львівський національний університет ветеринарної медицини та біотехнологій ім. С.З. Гжицького,1654,978
Львівський національний університет імені Івана Франка,8914,5260
Миколаївський національний аграрний університет,2109,982
Миколаївський національний університет імені В. О. Сухомлинського,2777,2419
Нацiональний авiацiйний унiверситет,8887,4062
Нацiональний медичний унiверситет iменi О.О.Богомольця,4507,4430
Нацiональний педагогічний унiверситет iменi М.П.Драгоманова,5707,2892
Нацiональний технічний унiверситет України “Київський полiтехнiчний інститут”,19763,2711
Нацiональний транспортний унiверситет,3801,2012
Нацiональний унiверситет фізичного виховання i спорту України,1244,588
Національна академія образотворчого мистецтва i архітектури,632,159
Національна академія управління при Президентові України,288,22
Національна медична академія післядипломної освіти імені Л.П. Шупика,1005,523
Національна музична академія України імені П.І.Чайковського,923,113
Національний аерокосмічний університет імені М.Є.Жуковського “Харківський авіаційний інститут”,4355,1608
Національний гірничий університет України,3988,2018
Національний лісотехнічний університет України,1981,517
Національний технічний університет “Харківський політехнічний інститут”,9131,2799
"Національний університет ""Одеська юридична академія""",6190,5051
"Національний університет ""Юридична академія України імені Ярослава Мудрого""",5991,4145
Національний університет “Львівська політехніка”,12942,7162
Національний університет “Острозька академія”,1130,872
Національний університет „Києво-Могилянська академія”,2210,847
Національний університет біоресурсів і природокористування,8811,1496
Національний університет водного господарства та природокористування,3605,1674
Національний університет державної податкової служби України,4204,248
Національний університет кораблебудування імені Адмірала Макарова,3224,540
Національний університет харчових технологій,5436,1908
Національний фармацевтичний університет,107,2772
Одеська національна академія зв’язку імені О.С. Попова,1465,461
Одеська національна академія харчових технологій,3107,1473
Одеська національна морська академія,2703,3274
Одеський національний економічний університет,1432,1420
Одеський національний медичний університет,1909,2516
Одеський національний морський університет,1426,1115
Одеський національний політехнічний університет,4362,1890
Одеський національний університет імені І.І. Мечникова,4132,2955
Південноукраїнський національний педагогічний Університет імені К.Д. Ушинського,1890,1051
Полтавський національний педагогічний університет імені В.Г.Короленка,1986,1391
Полтавський національний технічний університет імені Юрія Кондратюка,2342,2871
Прикарпатський національний університет ім. Василя Стефаника,3796,5732
Сумський національний аграрний університет,2577,1278
Східноєвропейський національний університет імені Лесі Українки,4195,2306
Тернопільський національний економічний університет,2540,1869
Тернопільський національний педагогічний університет імені Володимира Гнатюка,3026,1422
Тернопільський національний технічний університет імені Івана Пулюя,2222,1078
Ужгородський національний університет,5269,4071
Уманський національний університет садівництва,1617,1092
