type,year,load
наземний,2005,457.4
залізничний,2005,224
автомобільний,2005,35.3
трубопровідний,2005,198.1
наземний,2006,475.9
залізничний,2006,240.8
автомобільний,2006,40.6
трубопровідний,2006,194.5
наземний,2007,491.2
залізничний,2007,262.5
автомобільний,2007,46.6
трубопровідний,2007,182.1
наземний,2008,491.5
залізничний,2008,257
автомобільний,2008,54.9
трубопровідний,2008,179.6
наземний,2009,387.3
залізничний,2009,196.2
автомобільний,2009,49.2
трубопровідний,2009,141.9
наземний,2010,409.3
залізничний,2010,218.1
автомобільний,2010,53.9
трубопровідний,2010,137.3
наземний,2011,438
залізничний,2011,243.9
автомобільний,2011,57.3
трубопровідний,2011,136.8
наземний,2012,406.9
залізничний,2012,237.7
автомобільний,2012,57.5
трубопровідний,2012,111.7
наземний,2013,394.7
залізничний,2013,224.4
автомобільний,2013,58.7
трубопровідний,2013,111.6
